feature,coefficient,importance
edge_trenches,0.2803703428499,0.3033068349404671
edge_offense,0.21170708077190567,0.22902637971873296
edge_defense,0.17016211087329658,0.18408270557845433
edge_form,0.12990803044268442,0.14053552578496098
edge_situational,0.07950536010876898,0.08600952187123023
edge_matchup,0.04630005816905127,0.050087765910150614
edge_turnovers,0.0032128008045006484,0.0034756330980019907
edge_qb,0.0032128008045004203,0.003475633098001744
edge_injuries,0.0,0.0
edge_market,0.0,0.0
edge_coaching,0.0,0.0
